1,1234567890,0987654321,1000.00,Argentina,2023-07-01,10:30
2,2345678901,1098765432,2500.00,Chile,2023-07-02,11:00
3,3456789012,2109876543,1500.50,Chile,2023-07-03,12:15
4,2361873612,3737327732,1000.00,Bolivia,2023-07-03,12:17
5,4567890123,3210987654,2000.00,Argentina,2023-07-04,09:45
6,5678901234,4321098765,1750.75,Bolivia,2023-07-04,10:30
7,6789012345,5432109876,3000.00,Chile,2023-07-05,13:00
8,7890123456,6543210987,1250.00,Argentina,2023-07-05,14:25
9,8901234567,7654321098,2750.25,Bolivia,2023-07-06,15:40
10,9012345678,8765432109,3500.00,Chile,2023-07-06,16:55
11,1230984567,9876543210,1450.00,Argentina,2023-07-07,09:10
12,2341095678,1987654321,2250.00,Bolivia,2023-07-07,10:35
13,3452106789,2198765432,1950.50,Chile,2023-07-08,11:50
14,4563217890,3219876543,3200.00,Argentina,2023-07-08,13:05
15,5674328901,4321987654,2750.75,Bolivia,2023-07-09,14:20
